livello,titolo,significato,cosa_fare,colore_bg
verde,Nessuna Allerta,Assenza di fenomeni significativi prevedibili. La situazione è sotto controllo.,Nessuna azione richiesta. Resta informato seguendo i canali ufficiali.,#28a745
gialla,Allerta Gialla — Livello di Attenzione,Criticità ordinaria. Sono possibili fenomeni meteorologici localizzati e di intensità moderata.,Presta attenzione ai bollettini. Evita zone a rischio allagamento. Non sostare lungo i corsi d'acqua o sotto alberi isolati.,#ffc107
arancione,Allerta Arancione — Livello di Preallarme,Criticità moderata. I fenomeni previsti possono essere diffusi e potenzialmente pericolosi.,Limita gli spostamenti allo stretto necessario. Metti in sicurezza beni in locali interrati. Tieni pronto il kit di emergenza. Segui le indicazioni delle autorità.,#fd7e14
rossa,Allerta Rossa — Livello di Allarme,Criticità elevata. I fenomeni previsti sono molto intensi e con elevata probabilità di causare danni gravi.,Non uscire di casa se non strettamente necessario. Allontanati dai piani interrati. Non attraversare strade allagate o sottopassaggi. Segui esclusivamente le indicazioni delle autorità. Tieni il telefono carico.,#dc3545
